0
Age
Flight Distance
Arrival Delay in Minutes
Customer Type
Type of Travel
Class
Inflight wifi service
Ease of Online booking
Food and drink
Online boarding
Seat comfort
Inflight entertainment
On-board service
Leg room service
Baggage handling
Checkin service
Inflight service
Cleanliness
